"Annot_Gene"	"Annot_Christoforou_UniprotGO_overlap3"	"HPA.main.location"	"HPA.Other.loc"	"HPA.Reliability"	"Gene.ontology.cellular.component"	"Uniprot.Subcellular.location"	"overlap"	"clusters"	"assigned_location_Christoforou_UniprotGO_overlap3"	"precision_assigned_location_Christoforou_UniprotGO_overlap3"	"data_Gene"	"data_non_NUM_space"	"data_Christoforou_126"	"data_Christoforou_127N"	"data_Christoforou_127C"	"data_Christoforou_128N"	"data_Christoforou_128C"	"data_Christoforou_129N"	"data_Christoforou_129C"	"data_Christoforou_130N"	"data_Christoforou_131"	"data_Christoforou_130C"	"data_non_NUM_space.1"	"data_Rodriguez_Pineiro_1"	"data_Rodriguez_Pineiro_2"	"data_Rodriguez_Pineiro_3"	"data_Rodriguez_Pineiro_4"	"data_Rodriguez_Pineiro_5"	"data_Rodriguez_Pineiro_6"	"data_Rodriguez_Pineiro_7"	"data_Rodriguez_Pineiro_8"	"data_Rodriguez_Pineiro_9"	"data_Rodriguez_Pineiro_10"	"data_Rodriguez_Pineiro_11"	"data_X"	"data_Cyt.Andreyev"	"data_Nucl.Andreyev"	"data_Microsomes.Andreyev"	"data_PM.Andreyev"	"data_ER.Andreyev"	"data_Mito.Andreyev"	"data_X.1"	"data_Cyt.Carvalho"	"data_Nucl.Carvalho"	"data_Mit.Carvalho"	"data_X.2"	"data_Cyt.Boisvert"	"data_Nucl.Boisvert"	"data_Nucleolus.Boisvert"	"data_X.3"	"data_Cyt.Pinto"	"data_Nucl.Pinto"	"data_Tot.Pinto"	"data_X.4"	"data_Cyt.Choi"	"data_Nucl.Choi"	"data_Pellet.Choi"	"data_Nucl.soluble.Choi"	"data_X.5"	"data_Cyt.Mulvey"	"data_Nucl.Mulvey"	"data_Total.Mulvey"	"data_X.6"	"data_cyt.Bileck"	"data_Nucl.Bileck"	"data_X.7"	"data_Cyt.Thakar"	"data_Nucl.Thakar"	"data_TOT.Thakar"	"data_X.8"	"data_Cyt.Larance"	"data_Nucleus.Larance"	"data_Cytoskeleton.Larance"	"data_Membrane.Larance"
"TMED1"	"ER"	NA	NA	NA	"endoplasmic reticulum; endoplasmic reticulum-Golgi intermediate compartment; Golgi apparatus; integral component of membrane; plasma membrane"	" Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305} Endoplasmic reticulum membrane; Single-pass type I membrane protein Golgi apparatus cis-Golgi network membrane; Single-pass type I membrane protein Endoplasmic reticulum-Golgi intermediate compartment membrane; Single-pass type I membrane protein"	"overlaps 10"	89	"ER"	1	"TMED1"	"-"	1	10	18	10	36	44	20	34	28	1	"-"	1	66	14	4	50	48	4	12	1	1	1	NA	1	1	1	1	1	1	NA	3	94	3	NA	10	86	4	NA	57	43	1	NA	1	100	1	1	NA	1	69	31	NA	95	5	NA	50	50	1	NA	1	4	1	96
"WDR83OS"	"ER"	"Endoplasmic reticulum"	NA	"Uncertain"	"integral component of membrane"	" Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}"	"overlaps 1"	89	"ER"	1	"WDR83OS"	"-"	1	8	14	8	34	40	22	38	30	4	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	1
"ZDHHC13"	"ER"	"Vesicles"	NA	"Supportive"	"endoplasmic reticulum; Golgi apparatus; Golgi-associated vesicle membrane; Golgi membrane; integral component of membrane; intracellular membrane-bounded organelle; membrane"	" Golgi apparatus membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250} Cytoplasmic vesicle membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250} Note=Low extracellular Mg(2+) induces increase in Golgi and in post-Golgi vesicles {ECO:0000250}"	"overlaps 2"	89	"ER"	1	"ZDHHC13"	"-"	1	8	20	8	36	40	20	38	24	6	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	96	4	NA	1	1	1	NA	1	1	1	1
"ZFPL1"	"ER"	"Golgi apparatus"	NA	"Supportive"	"Golgi apparatus; integral component of membrane; nucleus"	" Golgi apparatus cis-Golgi network membrane {ECO:0000269|PubMed:18323775}; Single-pass membrane protein {ECO:0000269|PubMed:18323775}"	"overlaps 6"	89	"ER"	1	"ZFPL1"	"-"	1	8	16	10	40	38	20	34	26	4	"-"	38	162	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	4	92	3	NA	1	1	1	NA	1	8	92	NA	1	1	1	1	NA	1	1	1	NA	50	50	NA	1	1	1	NA	1	4	5	91
"CTAGE5"	"ER"	NA	NA	NA	"membrane"	NA	"overlaps 7"	154	"ER"	1	"CTAGE5"	"-"	1	6	10	8	24	62	32	32	24	1	"-"	1	1	4	1	34	68	42	8	18	10	12	NA	1	1	1	1	1	1	NA	11	52	37	NA	25	68	7	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	100	1	NA	1	1	100	NA	1	39	1	61
"DHRS13"	"ER"	"Vesicles"	NA	"Uncertain"	"extracellular region; membrane"	" Secreted {ECO:0000305}"	"overlaps 4"	154	"ER"	1	"DHRS13"	"-"	1	8	16	6	20	60	30	32	26	1	"-"	1	1	1	1	1	60	72	12	12	22	22	NA	1	1	1	52	106	42	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	100	NA	1	1	1	1
"MIA3"	"ER"	"Vesicles"	NA	"Supportive"	"endoplasmic reticulum membrane; integral component of membrane; membrane"	" Endoplasmic reticulum membrane {ECO:0000269|PubMed:19269366}; Single-pass type I membrane protein {ECO:0000269|PubMed:19269366} Note=Localizes at endoplasmic reticulum exit sites After loading of COL7A1 into transport carriers it is not incorporated into COPII carriers and remains in the endoplasmic reticulum membrane"	"overlaps 10"	154	"ER"	1	"MIA3"	"-"	1	8	10	10	24	64	32	28	24	1	"-"	1	1	6	1	18	72	30	18	36	12	6	NA	1	1	4	80	102	14	NA	11	69	21	NA	48	13	40	NA	1	1	1	NA	100	1	1	1	NA	100	1	1	NA	99	1	NA	1	1	100	NA	1	1	1	100
"PDIA6"	"ER"	"Cytoplasm;Endoplasmic reticulum"	NA	"Supportive"	"endoplasmic reticulum; endoplasmic reticulum-Golgi intermediate compartment; endoplasmic reticulum membrane; extracellular vesicular exosome; plasma membrane"	" Endoplasmic reticulum lumen {ECO:0000255|PROSITE-ProRule:PRU10138} Cell membrane Melanosome Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV"	"overlaps 10"	154	"ER"	1	"PDIA6"	"-"	4	8	12	10	26	60	30	30	22	1	"-"	1	1	1	4	40	48	42	18	28	6	14	NA	1	1	1	1	1	1	NA	15	81	4	NA	29	70	1	NA	12	10	78	NA	72	13	9	5	NA	42	16	42	NA	96	4	NA	8	10	83	NA	1	2	12	86
"RCN3"	"ER"	"Endoplasmic reticulum;Vesicles"	NA	"Uncertain"	"endoplasmic reticulum"	" Endoplasmic reticulum lumen {ECO:0000255|PROSITE-ProRule:PRU10138}"	"overlaps 6"	154	"ER"	1	"RCN3"	"-"	1	12	12	6	26	58	28	32	20	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	15	84	1	NA	1	1	1	NA	100	1	1	1	NA	47	19	34	NA	1	1	NA	1	1	100	NA	1	3	1	97
"UBXN4"	"ER"	"Endoplasmic reticulum"	"Cytoplasm"	"Supportive"	"cytoplasm; endoplasmic reticulum; membrane; nucleus"	" Endoplasmic reticulum membrane {ECO:0000269|PubMed:16968747}; Peripheral membrane protein {ECO:0000269|PubMed:16968747} Nucleus envelope {ECO:0000269|PubMed:16968747} Note=Both the N- and the C-terminus face the cytosol Also found in the nucleus envelope contiguous to the ER"	"overlaps 8"	154	"ER"	1	"UBXN4"	"-"	1	6	10	4	26	58	36	30	26	1	"-"	1	1	16	10	46	46	34	10	28	1	8	NA	4	6	36	42	94	16	NA	7	90	4	NA	52	45	3	NA	1	1	1	NA	1	1	1	1	NA	76	24	1	NA	100	1	NA	1	1	100	NA	1	1	1	1
"FKBP2"	"ER"	"Plasma membrane"	NA	"Uncertain"	"endoplasmic reticulum; endoplasmic reticulum membrane; extracellular vesicular exosome"	" Endoplasmic reticulum membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}"	"overlaps 10"	198	"ER"	1	"FKBP2"	"-"	4	18	16	12	36	38	20	30	26	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	50	12	30	70	38	NA	93	1	7	NA	13	83	3	NA	79	3	17	NA	100	1	1	1	NA	18	68	14	NA	99	1	NA	13	2	86	NA	1	4	11	84
"FKBP9"	"ER"	"Mitochondria;Vesicles"	NA	"Supportive"	"endoplasmic reticulum; endoplasmic reticulum membrane"	" Endoplasmic reticulum {ECO:0000255|PROSITE-ProRule:PRU10138}"	"overlaps 7"	198	"ER"	1	"FKBP9"	"-"	6	14	14	10	34	44	22	28	24	1	"-"	1	1	1	6	18	60	38	22	26	8	24	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	30	3	67	NA	100	1	1	1	NA	69	11	20	NA	1	1	NA	1	1	100	NA	1	1	1	100
"GDF3"	"ER"	NA	NA	NA	"cytoplasm; extracellular space"	" Secreted {ECO:0000305}"	"overlaps 1"	198	"ER"	1	"GDF3"	"-"	4	16	18	10	32	42	20	28	30	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	1
"POFUT2"	"ER"	NA	NA	NA	"endoplasmic reticulum; Golgi apparatus"	" Endoplasmic reticulum {ECO:0000269|PubMed:15233996} Golgi apparatus {ECO:0000269|PubMed:15233996} Note=Mainly located in the endoplasmic reticulum"	"overlaps 5"	198	"ER"	1	"POFUT2"	"-"	6	18	16	10	26	42	24	26	28	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	100	NA	100	1	1	1	NA	56	4	41	NA	100	1	NA	1	1	1	NA	1	1	1	1
"POR"	"ER"	"Nucleus but not nucleoli;Vesicles"	NA	"Uncertain"	"endoplasmic reticulum; intracellular membrane-bounded organelle; membrane; mitochondrion"	" Endoplasmic reticulum membrane; Peripheral membrane protein Note=Anchored to the ER membrane by its N-terminal hydrophobic region"	"overlaps 11"	198	"ER"	1	"POR"	"-"	1	22	18	14	34	42	18	28	26	1	"-"	1	4	24	10	30	46	28	18	24	6	10	NA	6	58	18	52	44	24	NA	11	82	7	NA	36	61	3	NA	1	1	99	NA	100	1	1	1	NA	1	57	42	NA	100	1	NA	5	15	80	NA	1	1	12	87
"SUMF2"	"ER"	NA	NA	NA	"endoplasmic reticulum lumen"	" Endoplasmic reticulum lumen {ECO:0000269|PubMed:15708861 ECO:0000269|PubMed:15962010}"	"overlaps 8"	198	"ER"	1	"SUMF2"	"-"	8	18	18	12	30	46	20	28	22	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	69	31	NA	1	97	1	NA	1	11	88	NA	1	1	1	1	NA	55	10	35	NA	99	1	NA	1	1	100	NA	1	1	1	99
"CANX"	"ER"	"Endoplasmic reticulum"	NA	"Supportive"	"axon; dendrite cytoplasm; dendritic spine; endoplasmic reticulum; endoplasmic reticulum lumen; endoplasmic reticulum membrane; ER-mitochondrion membrane contact site; extracellular vesicular exosome; integral component of lumenal side of endoplasmic reticulum membrane; membrane; neuronal cell body; protein complex; ribosome"	" Endoplasmic reticulum membrane; Single-pass type I membrane protein Endoplasmic reticulum Melanosome Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV The palmitoylated form preferentially localizes to the perinuclear rough ER"	"overlaps 11"	212	"ER"	1	"CANX"	"-"	1	16	14	10	26	46	28	32	26	1	"-"	1	8	20	10	34	54	22	20	14	8	8	NA	1	14	18	58	92	18	NA	11	84	6	NA	16	83	1	NA	22	43	35	NA	78	1	15	6	NA	15	39	47	NA	97	3	NA	4	14	83	NA	1	1	7	93
"DPAGT1"	"ER"	NA	NA	NA	"endoplasmic reticulum membrane; integral component of endoplasmic reticulum membrane; integral component of membrane; intracellular membrane-bounded organelle; membrane"	" Endoplasmic reticulum membrane; Multi-pass membrane protein"	"overlaps 3"	212	"ER"	1	"DPAGT1"	"-"	1	12	14	10	24	46	32	30	30	4	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	4	89	7	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	100	NA	1	1	1	1
"MPDU1"	"ER"	"Endoplasmic reticulum"	"Mitochondria"	"Supportive"	"endoplasmic reticulum; endoplasmic reticulum membrane; extracellular vesicular exosome; integral component of membrane; membrane; mitochondrion"	" Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}"	"overlaps 7"	212	"ER"	1	"MPDU1"	"-"	1	16	10	10	24	48	30	32	28	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	13	83	4	NA	43	55	3	NA	1	1	100	NA	1	1	1	1	NA	100	1	1	NA	100	1	NA	1	1	1	NA	1	1	1	100
"PTPN1"	"ER"	"Endoplasmic reticulum"	NA	"Supportive"	"cytoplasmic vesicle; cytosol; early endosome; endoplasmic reticulum; membrane; sorting endosome"	" Endoplasmic reticulum membrane {ECO:0000269|PubMed:1739967 ECO:0000269|PubMed:21135139}; Peripheral membrane protein {ECO:0000269|PubMed:1739967 ECO:0000269|PubMed:21135139}; Cytoplasmic side {ECO:0000269|PubMed:1739967 ECO:0000269|PubMed:21135139} Note=Interacts with EPHA3 at the cell membrane"	"overlaps 11"	212	"ER"	1	"PTPN1"	"-"	1	12	12	8	26	48	32	28	28	4	"-"	1	1	1	6	1	106	48	8	26	1	4	NA	8	52	20	12	68	40	NA	5	89	6	NA	24	72	4	NA	1	4	96	NA	58	21	21	1	NA	1	67	32	NA	89	11	NA	1	8	92	NA	1	1	1	99
"SERPINH1"	"ER"	"Endoplasmic reticulum"	NA	"Supportive"	"endoplasmic reticulum; endoplasmic reticulum-Golgi intermediate compartment; endoplasmic reticulum lumen; extracellular space; extracellular vesicular exosome"	" Endoplasmic reticulum lumen"	"overlaps 10"	212	"ER"	1	"SERPINH1"	"-"	1	10	12	10	26	48	28	32	28	1	"-"	1	4	12	6	24	58	32	20	24	12	6	NA	1	1	1	1	1	1	NA	22	73	6	NA	26	67	7	NA	3	5	91	NA	57	21	15	7	NA	29	44	27	NA	100	1	NA	16	6	78	NA	1	2	12	86
"SLC27A1"	"ER"	NA	NA	NA	"endoplasmic reticulum; integral component of membrane; membrane; plasma membrane"	" Cell membrane {ECO:0000269|PubMed:12235169}; Single-pass membrane protein {ECO:0000269|PubMed:12235169} Endomembrane system {ECO:0000269|PubMed:12235169}; Single-pass membrane protein {ECO:0000269|PubMed:12235169} Cytoplasm {ECO:0000250} Note=Plasma membrane and intracellular membranes at least in adipocytes Predominantly cytoplasmic in myocytes (By similarity) {ECO:0000250}"	"overlaps 4"	212	"ER"	1	"SLC27A1"	"-"	1	14	12	10	26	46	28	32	28	4	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	100	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	93	7	NA	1	1	1	NA	1	1	1	100
"ALG2"	"ER"	"Nucleus but not nucleoli;Cytoskeleton (Actin filaments)"	NA	"Supportive"	"cytoplasm; endoplasmic reticulum membrane; integral component of membrane; membrane; nucleus; perinuclear region of cytoplasm"	" Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}"	"overlaps 6"	284	"ER"	1	"ALG2"	"-"	1	18	18	8	22	48	26	28	28	6	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	99	1	NA	1	82	16	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	100	1	NA	50	50	1	NA	1	1	1	99
"ALG9"	"ER"	NA	NA	NA	"endoplasmic reticulum membrane; integral component of membrane; membrane"	" Endoplasmic reticulum membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}"	"overlaps 4"	284	"ER"	1	"ALG9"	"-"	1	14	14	6	18	52	26	28	30	10	"-"	1	1	1	1	1	1	1	1	200	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	100	1	NA	1	1	1	NA	33	1	1	67
"DGKE"	"ER"	"Nucleus;Cytoplasm"	NA	"Uncertain"	"cytoplasm; integral component of membrane; membrane; plasma membrane"	" Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305} Membrane {ECO:0000269|PubMed:23542698} Cytoplasm {ECO:0000269|PubMed:23542698}"	"overlaps 1"	284	"ER"	1	"DGKE"	"-"	1	12	18	10	18	54	30	26	24	10	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	1
"GLCE"	"ER"	"Mitochondria"	NA	"Uncertain"	"Golgi apparatus; integral component of membrane"	" Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}"	"overlaps 3"	284	"ER"	1	"GLCE"	"-"	1	6	16	12	24	50	24	26	30	10	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	70	29	1	NA	1	1	1	NA	1	73	27	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	1
"HMGCR"	"ER"	NA	NA	NA	"endoplasmic reticulum; endoplasmic reticulum membrane; integral component of membrane; peroxisomal membrane"	" Endoplasmic reticulum membrane; Multi-pass membrane protein"	"overlaps 2"	284	"ER"	1	"HMGCR"	"-"	4	16	16	8	20	46	28	24	28	10	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	41	1	59	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	1
"MBOAT7"	"ER"	"Cytoplasm"	NA	"Uncertain"	"endoplasmic reticulum membrane; integral component of membrane; membrane"	" Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}"	"overlaps 9"	284	"ER"	1	"MBOAT7"	"-"	1	12	14	8	20	50	30	30	26	10	"-"	1	1	1	6	30	38	36	22	26	18	22	NA	1	1	1	1	1	1	NA	11	83	6	NA	8	91	1	NA	1	1	100	NA	1	38	62	1	NA	1	1	1	NA	62	38	NA	1	1	100	NA	1	2	31	67
"ABHD12"	"ER"	NA	NA	NA	"alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex"	" Membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}"	"overlaps 9"	298	"ER"	1	"ABHD12"	"-"	1	6	8	6	28	38	22	42	44	6	"-"	1	1	1	1	26	62	32	32	24	10	12	NA	1	26	1	72	84	16	NA	1	1	1	NA	53	46	1	NA	1	1	1	NA	1	100	1	1	NA	1	21	79	NA	90	10	NA	1	1	100	NA	1	1	1	99
"AUP1"	"ER"	"Nucleus but not nucleoli;Vesicles"	NA	"Uncertain"	"endoplasmic reticulum; integral component of membrane; membrane"	" Endoplasmic reticulum membrane {ECO:0000269|PubMed:12042322 ECO:0000269|PubMed:18711132}; Single-pass type III membrane protein {ECO:0000269|PubMed:12042322 ECO:0000269|PubMed:18711132}; Cytoplasmic side {ECO:0000269|PubMed:12042322 ECO:0000269|PubMed:18711132}"	"overlaps 8"	298	"ER"	1	"AUP1"	"-"	1	8	10	10	26	26	22	42	44	10	"-"	1	1	1	4	26	46	48	22	28	8	16	NA	1	12	38	62	72	12	NA	21	77	2	NA	1	97	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	100	1	NA	1	1	100	NA	1	1	1	100
"CAMLG"	"ER"	"Vesicles"	"Nucleus;Nucleoli"	"Uncertain"	"endoplasmic reticulum; integral component of membrane; membrane"	" Membrane; Multi-pass membrane protein"	"overlaps 3"	298	"ER"	1	"CAMLG"	"-"	1	8	12	8	28	30	22	42	42	6	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	99	1	NA	42	14	44	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	1
"OGFOD3"	"ER"	"Nucleus but not nucleoli"	NA	"Uncertain"	"extracellular vesicular exosome; integral component of membrane; membrane"	" Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}"	"overlaps 1"	298	"ER"	1	"OGFOD3"	"-"	1	8	12	8	26	38	22	38	36	10	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	1
"SEC11C"	"ER"	"Nucleus but not nucleoli"	NA	"Uncertain"	"endoplasmic reticulum membrane; integral component of membrane"	" Microsome membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250} Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}"	"overlaps 7"	298	"ER"	1	"SEC11C"	"-"	6	8	8	8	22	38	24	38	38	8	"-"	1	1	1	1	1	1	52	60	1	88	1	NA	1	1	1	32	116	52	NA	4	92	4	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	93	7	NA	1	1	100	NA	1	5	1	95
"TMCO1"	"ER"	"Endoplasmic reticulum"	NA	"Supportive"	"endoplasmic reticulum; Golgi apparatus; integral component of membrane"	" Endoplasmic reticulum membrane {ECO:0000269|PubMed:10393320}; Multi-pass membrane protein {ECO:0000269|PubMed:10393320} Golgi apparatus membrane {ECO:0000269|PubMed:10393320}; Multi-pass membrane protein {ECO:0000269|PubMed:10393320}"	"overlaps 11"	298	"ER"	1	"TMCO1"	"-"	1	4	16	6	18	34	26	42	38	12	"-"	1	1	1	1	14	40	34	26	1	50	30	NA	1	12	4	20	132	28	NA	9	72	19	NA	9	85	6	NA	41	25	34	NA	1	66	34	1	NA	1	55	45	NA	53	47	NA	1	22	78	NA	1	7	7	86
"ERP44"	"ER"	NA	NA	NA	"cell surface; endoplasmic reticulum-Golgi intermediate compartment; endoplasmic reticulum lumen; endoplasmic reticulum membrane; extracellular vesicular exosome"	" Endoplasmic reticulum lumen"	"overlaps 10"	330	"ER"	1	"ERP44"	"-"	4	12	12	12	42	42	18	34	24	1	"-"	1	1	10	4	24	62	28	30	22	6	12	NA	1	1	1	1	1	1	NA	16	75	9	NA	29	68	3	NA	24	16	60	NA	100	1	1	1	NA	21	13	66	NA	96	4	NA	1	3	97	NA	1	2	1	98
"ESYT1"	"ER"	NA	NA	NA	"integral component of endoplasmic reticulum membrane; membrane; plasma membrane"	" Endoplasmic reticulum membrane; Multi-pass membrane protein Cell membrane; Peripheral membrane protein Note=Localizes primarily to the endoplasmic reticulum Recruited to sites of contact between the endoplasmic reticulum and the cell membrane in response to increased cytosolic calcium levels"	"overlaps 10"	330	"ER"	1	"ESYT1"	"-"	1	10	14	12	42	44	20	30	24	1	"-"	8	28	60	6	38	28	14	4	6	1	1	NA	1	12	40	68	60	16	NA	15	80	5	NA	21	74	5	NA	4	16	80	NA	100	1	1	1	NA	41	40	19	NA	95	5	NA	1	1	1	NA	1	1	1	98
"KIAA0100"	"ER"	"Nucleus but not nucleoli"	"Cytoplasm"	"Uncertain"	"extracellular region"	" Secreted {ECO:0000305}"	"overlaps 2"	330	"ER"	1	"KIAA0100"	"-"	1	12	10	10	46	42	16	36	26	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	100	NA	1	1	1	1
"PNPLA6"	"ER"	NA	NA	NA	"endoplasmic reticulum; integral component of membrane; membrane"	" Endoplasmic reticulum membrane {ECO:0000269|PubMed:15044461}; Single-pass type I membrane protein {ECO:0000269|PubMed:15044461}; Cytoplasmic side {ECO:0000269|PubMed:15044461} Note=Anchored to the cytoplasmic face of the endoplasmic reticulum by its amino-terminal transmembrane segment"	"overlaps 9"	330	"ER"	1	"PNPLA6"	"-"	1	8	14	12	50	46	16	30	22	1	"-"	1	1	1	1	36	64	48	16	14	8	12	NA	1	1	1	1	1	1	NA	10	88	2	NA	36	63	1	NA	1	1	1	NA	100	1	1	1	NA	46	54	1	NA	73	27	NA	1	1	100	NA	1	1	1	100
"SPTLC1"	"ER"	"Endoplasmic reticulum"	NA	"Uncertain"	"endoplasmic reticulum membrane; integral component of membrane; serine C-palmitoyltransferase complex; SPOTS complex"	" Endoplasmic reticulum membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}"	"overlaps 9"	330	"ER"	1	"SPTLC1"	"-"	1	14	18	10	44	40	18	36	22	1	"-"	1	4	14	6	42	58	22	28	14	1	12	NA	1	1	1	1	1	1	NA	6	84	10	NA	16	82	1	NA	1	1	1	NA	100	1	1	1	NA	75	20	5	NA	100	1	NA	1	1	100	NA	1	1	1	100
"YIF1A"	"ER"	"Vesicles"	"Golgi apparatus;Microtubule organizing center"	"Supportive"	"endoplasmic reticulum-Golgi intermediate compartment; endoplasmic reticulum membrane; Golgi apparatus; integral component of membrane; intracellular membrane-bounded organelle; microtubule organizing center"	" Endoplasmic reticulum membrane; Multi-pass membrane protein Golgi apparatus membrane; Multi-pass membrane protein Note=Cycles between the endoplasmic reticulum and the endoplasmic reticulum-Golgi intermediate compartment"	"overlaps 10"	330	"ER"	1	"YIF1A"	"-"	1	8	14	10	44	40	20	32	24	8	"-"	18	74	70	6	1	6	10	8	10	1	1	NA	12	1	96	92	1	1	NA	1	100	1	NA	1	97	1	NA	1	1	1	NA	100	1	1	1	NA	38	62	1	NA	100	1	NA	1	1	100	NA	1	19	1	81
"ACSL1"	"ER"	"Nucleus"	"Mitochondria"	"Supportive"	"endoplasmic reticulum membrane; integral component of membrane; membrane; mitochondrial outer membrane; mitochondrion; peroxisomal membrane; plasma membrane"	" Mitochondrion outer membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250} Peroxisome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250} Microsome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250} Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}"	"overlaps 9"	46	"ER"	1	"ACSL1"	"-"	6	12	12	8	24	32	22	44	38	1	"-"	18	18	24	8	18	30	32	16	16	8	10	NA	1	44	30	22	58	44	NA	16	72	12	NA	38	61	1	NA	1	1	100	NA	1	1	1	1	NA	1	1	1	NA	100	1	NA	16	1	84	NA	1	1	1	100
"ERMP1"	"ER"	"Nucleoli"	"Nucleus"	"Uncertain"	"endoplasmic reticulum; integral component of membrane; membrane"	" Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}"	"overlaps 9"	46	"ER"	1	"ERMP1"	"-"	1	12	12	8	28	38	20	42	38	4	"-"	1	1	1	4	22	60	52	6	44	4	8	NA	1	42	6	34	70	50	NA	21	66	13	NA	36	57	7	NA	7	22	71	NA	1	1	1	1	NA	1	1	1	NA	93	7	NA	1	5	95	NA	1	1	1	100
