"Annot_Gene"	"Annot_Christoforou_UniprotGO_overlap3"	"HPA.main.location"	"HPA.Other.loc"	"HPA.Reliability"	"Gene.ontology.cellular.component"	"Uniprot.Subcellular.location"	"overlap"	"clusters"	"assigned_location_Christoforou_UniprotGO_overlap3"	"precision_assigned_location_Christoforou_UniprotGO_overlap3"	"data_Gene"	"data_non_NUM_space"	"data_Christoforou_126"	"data_Christoforou_127N"	"data_Christoforou_127C"	"data_Christoforou_128N"	"data_Christoforou_128C"	"data_Christoforou_129N"	"data_Christoforou_129C"	"data_Christoforou_130N"	"data_Christoforou_131"	"data_Christoforou_130C"	"data_non_NUM_space.1"	"data_Bileck.cyt"	"data_Bileck.Nucl"	"data_non_NUM_space.x"	"data_Cyt.Thakar"	"data_Nucl.Thakar"	"data_TOT.Thakar"	"data_non_NUM_space.y"	"data_Cyt.Carvalho"	"data_Nucl.Carvalho"	"data_Mit.Carvalho"
"RTN1"	"ER"	NA	NA	NA	"endoplasmic reticulum membrane; integral component of endoplasmic reticulum membrane"	" Endoplasmic reticulum membrane; Multi-pass membrane protein"	"overlaps 3"	234	"PM"	0.5	"RTN1"	"-"	4	18	16	14	42	46	16	26	16	1	"-"	100	1	"-"	1	100	1	"-"	26	66	8
"CNP"	"PM"	"Nucleus"	"Cytoplasm"	"Supportive"	"cytoplasm; extracellular space; extracellular vesicular exosome; membrane; microtubule; microvillus; mitochondrial inner membrane; mitochondrial outer membrane; myelin sheath abaxonal region; myelin sheath adaxonal region; nucleus; perinuclear region of cytoplasm; plasma membrane; pseudopodium"	" Membrane; Lipid-anchor Melanosome Note=Firmly bound to membrane structures of brain white matter Identified by mass spectrometry in melanosome fractions from stage I to stage IV"	"overlaps 3"	296	"PM"	0.5	"CNP"	"-"	1	62	44	22	30	16	10	8	4	1	"-"	99	1	"-"	19	1	81	"-"	5	76	19
"FAHD1"	"MITOCHONDRION"	"Nucleus;Mitochondria"	NA	"Supportive"	"cytoplasm; cytosol; mitochondrial inner membrane; mitochondrion; nucleus"	" Mitochondrion {ECO:0000269|PubMed:21878618} Cytoplasm cytosol {ECO:0000269|PubMed:21878618}"	"overlaps 3"	296	"PM"	0.5	"FAHD1"	"-"	16	8	6	1	6	18	46	54	44	1	"-"	98	2	"-"	16	2	82	"-"	1	78	22
"DYSF"	""	NA	NA	NA	"cytoplasmic vesicle; extracellular vesicular exosome; integral component of membrane; lamellipodium; plasma membrane; sarcolemma; T-tubule"	" Cell membrane sarcolemma; Single-pass type II membrane protein Cytoplasmic vesicle membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250} Cell membrane Note=Colocalizes during muscle differentiation with BIN1 in the T-tubule system of myotubules and at the site of contact between two myotubes or a myoblast and a myotube Wounding of myotubes led to its focal enrichment to the site of injury and to its relocalization in a Ca(2+)-dependent manner toward the plasma membrane Colocalizes with AHNAK AHNAK2 and PARVB at the sarcolemma of skeletal muscle Detected on the apical plasma membrane of the syncytiotrophoblast Reaches the plasmma membrane through a caveolin-independent mechanism Retained by caveolin at the plasmma membrane (By similarity) Colocalizes during muscle differentiation with CACNA1S in the T-tubule system of myotubules (By similarity) Accumulates and colocalizes with fusion vesicles at the sarcolemma disruption sites (By similarity) {ECO:0000250}"	"overlaps 3"	332	"PM"	0.5	"DYSF"	"-"	1	32	42	30	46	24	12	10	6	1	"-"	95	5	"-"	100	1	1	"-"	9	55	36
"MRPS21"	"MITOCHONDRION"	NA	NA	NA	"mitochondrial small ribosomal subunit"	" Mitochondrion"	"overlaps 3"	332	"PM"	0.5	"MRPS21"	"-"	8	1	1	1	10	14	38	66	54	6	"-"	91	9	"-"	100	1	1	"-"	1	57	43
"SNAP23"	"PM"	"Plasma membrane"	NA	"Supportive"	"azurophil granule; extracellular vesicular exosome; focal adhesion; neuron projection; nucleus; plasma membrane; specific granule; synapse"	" Cell membrane; Peripheral membrane protein Cell membrane; Lipid-anchor Cell junction synapse synaptosome Note=Mainly localized to the plasma membrane"	"overlaps 3"	332	"PM"	0.5	"SNAP23"	"-"	1	66	42	22	36	18	8	4	1	1	"-"	83	17	"-"	88	1	12	"-"	1	60	40
"DBT"	"MITOCHONDRION"	"Mitochondria"	NA	"Supportive"	"mitochondrial alpha-ketoglutarate dehydrogenase complex; mitochondrial matrix; mitochondrial nucleoid; mitochondrion"	" Mitochondrion matrix"	"overlaps 3"	4	"PM"	0.333333333333333	"DBT"	"-"	1	1	4	1	4	20	66	48	46	8	"-"	92	8	"-"	1	31	69	"-"	1	86	14
"RAB18"	""	NA	NA	NA	"endoplasmic reticulum tubular network; extracellular vesicular exosome; intracellular; plasma membrane"	" Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}"	"overlaps 3"	4	"PM"	0.333333333333333	"RAB18"	"-"	1	18	22	14	38	46	20	22	18	1	"-"	100	1	"-"	8	28	64	"-"	11	85	4
"RAP1B"	"PM"	NA	NA	NA	"cell-cell junction; cytosol; extracellular vesicular exosome; intracellular; lipid particle; membrane; plasma membrane"	" Cell membrane Cytoplasm cytosol Cell junction Note=May shuttle between plasma membrane and cytosol Presence of KRIT1 and CDH5 is required for its localization to the cell junction"	"overlaps 3"	4	"PM"	0.333333333333333	"RAP1B"	"-"	1	42	38	26	50	22	10	8	4	1	"-"	91	9	"-"	1	33	66	"-"	13	75	12
"TMEM167A"	"ER"	NA	NA	NA	"Golgi apparatus; integral component of membrane"	" Golgi apparatus membrane {ECO:0000269|PubMed:19942856}; Single-pass type I membrane protein {ECO:0000269|PubMed:19942856}"	"overlaps 3"	4	"PM"	0.333333333333333	"TMEM167A"	"-"	1	4	10	8	30	42	30	40	30	4	"-"	100	1	"-"	1	27	73	"-"	16	84	1
"ABI1"	"PM"	"Plasma membrane;Cell Junctions"	"Cytoplasm"	"Supportive"	"cell junction; cytoskeleton; cytosol; endoplasmic reticulum; extracellular vesicular exosome; filopodium; intracellular; lamellipodium; neuron projection; nucleus; postsynaptic membrane; SCAR complex"	" Cytoplasm {ECO:0000250} Nucleus {ECO:0000250} Cell projection lamellipodium {ECO:0000250} Cell projection filopodium {ECO:0000250} Cell projection growth cone {ECO:0000250} Cell junction synapse postsynaptic cell membrane postsynaptic density {ECO:0000250} Cytoplasm cytoskeleton {ECO:0000250} Note=Localized to protruding lamellipodia and filopodia tips Also localized to neuronal growth cones and synaptosomes May shuttle from the postsynaptic densities to the nucleus (By similarity) {ECO:0000250}"	"overlaps 3"	26	"PM"	0.333333333333333	"ABI1"	"-"	6	64	40	22	30	18	6	6	6	1	"-"	31	69	"-"	89	1	11	"-"	28	71	1
"ARPC5"	"CS"	NA	NA	NA	"actin cytoskeleton; Arp2/3 protein complex; cell projection; cytoplasm; cytosol; extracellular vesicular exosome; focal adhesion"	" Cytoplasm cytoskeleton {ECO:0000269|PubMed:9230079} Cell projection {ECO:0000269|PubMed:9230079}"	"overlaps 3"	26	"PM"	0.333333333333333	"ARPC5"	"-"	34	30	24	12	22	14	8	18	24	14	"-"	34	66	"-"	80	8	12	"-"	36	61	2
"CD2AP"	""	"Plasma membrane;Cytoplasm"	NA	"Supportive"	"actin cytoskeleton; cell-cell junction; cytoplasm; endocytic vesicle; extracellular vesicular exosome; filamentous actin; perinuclear region of cytoplasm; plasma membrane; ruffle"	" Cytoplasm cytoskeleton {ECO:0000250} Cell projection ruffle {ECO:0000250} Note=Colocalizes with F-actin and BCAR1/p130Cas in membrane ruffles Located at podocyte slit diaphragm between podocyte foot processes (By similarity) During late anaphase and telophase concentrates in the vicinity of the midzone microtubules and in the midbody in late telophase {ECO:0000250 ECO:0000269|PubMed:15800069}"	"overlaps 3"	26	"PM"	0.333333333333333	"CD2AP"	"-"	10	26	14	8	14	16	22	42	36	12	"-"	33	67	"-"	94	1	6	"-"	39	55	6
"PPP2R5C"	""	"Nucleus but not nucleoli;Cytoplasm"	"Golgi apparatus"	"Uncertain"	"chromosome, centromeric region; nucleus; protein phosphatase type 2A complex"	" Nucleus Chromosome centromere"	"overlaps 3"	26	"PM"	0.333333333333333	"PPP2R5C"	"-"	36	34	22	12	22	16	10	20	16	14	"-"	28	72	"-"	100	1	1	"-"	29	71	1
"RPL15"	"RIBOSOME"	NA	NA	NA	"cytosol; cytosolic large ribosomal subunit; extracellular vesicular exosome; nucleus; ribosome"	NA	"overlaps 3"	26	"PM"	0.333333333333333	"RPL15"	"-"	32	10	14	6	18	26	22	20	38	16	"-"	39	61	"-"	87	2	11	"-"	38	56	6
"VPS33A"	""	"Nucleus but not nucleoli"	NA	"Uncertain"	"early endosome; late endosome; lysosomal membrane; perinuclear region of cytoplasm"	" Late endosome membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250} Lysosome membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250} Note=Cytoplasmic peripheral membrane protein associated with late endosomes/lysosomes {ECO:0000250}"	"overlaps 3"	26	"PM"	0.333333333333333	"VPS33A"	"-"	8	28	36	26	42	26	8	8	12	6	"-"	39	61	"-"	95	1	5	"-"	38	62	1
"FIS1"	""	"Mitochondria"	NA	"Supportive"	"integral component of mitochondrial outer membrane; integral component of peroxisomal membrane; membrane; mitochondrion; peroxisome; protein complex"	" Mitochondrion outer membrane; Single-pass membrane protein Peroxisome membrane; Single-pass membrane protein"	"overlaps 3"	136	"PM"	0.333333333333333	"FIS1"	"-"	14	24	20	12	24	26	18	28	28	4	"-"	96	4	"-"	62	6	33	"-"	31	49	20
"MARCKSL1"	"PM"	"Cytoplasm"	"Nucleus but not nucleoli;Cytoskeleton (Actin filaments)"	"Supportive"	"cytoplasm; extracellular vesicular exosome; plasma membrane"	" Cytoplasm {ECO:0000250} Cell membrane {ECO:0000250} Note=Associates with the membrane via the insertion of the N-terminal N-myristoyl chain and the partial insertion of the effector domain Association of the effector domain with membranes may be regulated by Ca(2+)/calmodulin (By similarity) In prostate cancers detected in the cytoplasm and associated with apical or basal membranes (By similarity) {ECO:0000250}"	"overlaps 3"	136	"PM"	0.333333333333333	"MARCKSL1"	"-"	6	72	44	22	26	16	6	4	1	1	"-"	100	1	"-"	73	1	27	"-"	33	52	14
"PDE12"	"MITOCHONDRION"	NA	NA	NA	"mitochondrion"	" Mitochondrion matrix {ECO:0000269|PubMed:21245038 ECO:0000269|PubMed:21666256 ECO:0000269|PubMed:22285541}"	"overlaps 3"	136	"PM"	0.333333333333333	"PDE12"	"-"	28	14	14	4	8	10	32	48	40	1	"-"	97	3	"-"	55	1	45	"-"	42	39	19
"PRKAG1"	"CS"	NA	NA	NA	"AMP-activated protein kinase complex; cytosol; extracellular vesicular exosome; membrane; nucleus"	NA	"overlaps 3"	136	"PM"	0.333333333333333	"PRKAG1"	"-"	34	56	36	18	20	14	4	8	8	1	"-"	100	1	"-"	67	1	33	"-"	41	46	13
"CLASP1"	""	NA	NA	NA	"cell cortex; centrosomal corona; centrosome; cortical microtubule cytoskeleton; cytoplasmic microtubule; cytosol; extracellular vesicular exosome; Golgi apparatus; kinetochore; kinetochore microtubule; membrane; spindle microtubule"	" Cytoplasm cytoskeleton Cytoplasm cytoskeleton microtubule organizing center centrosome Chromosome centromere kinetochore Cytoplasm cytoskeleton spindle Golgi apparatus trans-Golgi network {ECO:0000305} Note=Localizes to microtubule plus ends Localizes to centrosomes kinetochores and the mitotic spindle from prometaphase Subsequently localizes to the spindle midzone from anaphase and to the midbody from telophase In migrating cells localizes to the plus ends of microtubules within the cell body and to the entire microtubule lattice within the lamella Localizes to the cell cortex and this requires ERC1 and PHLDB2"	"overlaps 3"	154	"PM"	0.333333333333333	"CLASP1"	"-"	28	20	14	8	12	14	18	36	34	18	"-"	78	22	"-"	29	1	71	"-"	13	87	1
"FIBP"	""	"Nucleus"	NA	"Supportive"	"extracellular vesicular exosome; membrane; mitochondrion; nucleus"	" Nucleus Endomembrane system; Peripheral membrane protein Note=Also associated with cytoplasmic membranes particularly of mitochondria"	"overlaps 3"	154	"PM"	0.333333333333333	"FIBP"	"-"	16	44	34	24	32	24	8	10	6	1	"-"	80	20	"-"	45	1	55	"-"	22	78	1
"NPLOC4"	""	NA	NA	NA	"endoplasmic reticulum; nuclear outer membrane-endoplasmic reticulum membrane network; nucleus"	" Cytoplasm cytosol {ECO:0000250} Endoplasmic reticulum {ECO:0000250} Nucleus {ECO:0000250} Note=Associated with the endoplasmic reticulum and nuclear {ECO:0000250}"	"overlaps 3"	154	"PM"	0.333333333333333	"NPLOC4"	"-"	40	6	6	4	6	10	20	48	44	20	"-"	81	19	"-"	47	1	52	"-"	15	79	5
"SCFD1"	"ER"	"Nucleus but not nucleoli;Cytoplasm"	NA	"Uncertain"	"cis-Golgi network; endoplasmic reticulum; Golgi-associated vesicle; Golgi transport complex; plasma membrane"	" Cytoplasm {ECO:0000250} Endoplasmic reticulum membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250} Golgi apparatus Golgi stack membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}"	"overlaps 3"	154	"PM"	0.333333333333333	"SCFD1"	"-"	20	16	16	10	24	34	18	30	26	8	"-"	78	22	"-"	45	1	55	"-"	13	83	4
"SLC1A5"	"PM"	"Plasma membrane;Golgi apparatus"	NA	"Supportive"	"extracellular vesicular exosome; Golgi apparatus; integral component of plasma membrane; membrane; plasma membrane"	" Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305} Melanosome Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV"	"overlaps 3"	154	"PM"	0.333333333333333	"SLC1A5"	"-"	1	48	32	26	44	24	10	10	6	1	"-"	84	16	"-"	38	1	60	"-"	9	82	9
"TPT1"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; extracellular space; extracellular vesicular exosome; multivesicular body; nucleoplasm; nucleus"	" Cytoplasm "	"overlaps 3"	154	"PM"	0.333333333333333	"TPT1"	"-"	74	28	28	14	14	14	6	6	6	8	"-"	69	31	"-"	40	1	60	"-"	19	80	1
"CTAGE5"	"ER"	NA	NA	NA	"membrane"	NA	"overlaps 3"	218	"PM"	0.333333333333333	"CTAGE5"	"-"	1	6	10	8	24	62	32	32	24	1	"-"	100	1	"-"	1	1	100	"-"	11	52	37
"IGSF8"	"PM"	NA	NA	NA	"extracellular vesicular exosome; integral component of membrane; membrane; plasma membrane"	" Cell membrane {ECO:0000250}; Single-pass membrane protein"	"overlaps 3"	218	"PM"	0.333333333333333	"IGSF8"	"-"	1	46	40	28	44	22	8	8	4	1	"-"	100	1	"-"	1	1	100	"-"	13	52	35
"RARS2"	"MITOCHONDRION"	"Cytoplasm"	"Nucleus"	"Uncertain"	"mitochondrial matrix"	" Mitochondrion matrix {ECO:0000250}"	"overlaps 3"	218	"PM"	0.333333333333333	"RARS2"	"-"	1	1	1	1	6	18	46	62	54	4	"-"	100	1	"-"	1	1	100	"-"	20	46	34
"MRPL38"	"MITOCHONDRION"	"Mitochondria"	NA	"Supportive"	"mitochondrion; ribosome"	" Mitochondrion {ECO:0000250}"	"overlaps 3"	305	"PM"	0.333333333333333	"MRPL38"	"-"	4	1	6	1	8	18	40	56	52	12	"-"	98	2	"-"	1	2	98	"-"	11	58	31
"MYOF"	"LYSOSOME"	"Vesicles"	"Plasma membrane"	"Supportive"	"caveola; cytoplasmic vesicle; extracellular vesicular exosome; integral component of membrane; intracellular membrane-bounded organelle; nuclear envelope; plasma membrane"	" Cell membrane; Single-pass type II membrane protein Nucleus membrane; Single-pass type II membrane protein Cytoplasmic vesicle membrane; Single-pass type II membrane protein Note=Concentrated at the membrane sites of both myoblast-myoblast and myoblast-myotube fusions Detected at the plasmalemma in endothelial cells lining intact blood vessels (By similarity) Found at nuclear and plasma membranes Enriched in undifferentiated myoblasts near the plasma membrane in puncate structures {ECO:0000250}"	"overlaps 3"	305	"PM"	0.333333333333333	"MYOF"	"-"	1	18	42	32	58	24	12	10	6	1	"-"	98	2	"-"	5	1	95	"-"	18	53	29
"SLC44A1"	"PM"	"Mitochondria"	"Nucleus but not nucleoli"	"Supportive"	"extracellular vesicular exosome; integral component of membrane; membrane; mitochondrial outer membrane; plasma membrane"	" Cell membrane {ECO:0000269|PubMed:19357133}; Multi-pass membrane protein {ECO:0000269|PubMed:19357133} Mitochondrion outer membrane {ECO:0000269|PubMed:19357133}; Multi-pass membrane protein {ECO:0000269|PubMed:19357133}"	"overlaps 3"	305	"PM"	0.333333333333333	"SLC44A1"	"-"	1	36	34	22	42	32	14	12	6	1	"-"	100	1	"-"	1	1	100	"-"	16	58	27
"C1QBP"	"MITOCHONDRION"	"Plasma membrane"	"Mitochondria"	"Uncertain"	"cell surface; cytoplasm; cytosol; extracellular space; membrane; mitochondrial matrix; mitochondrion; nucleus; plasma membrane"	" Mitochondrion matrix Nucleus Cell membrane; Peripheral membrane protein; Extracellular side Secreted Cytoplasm Nucleus nucleolus Note=Seems to be predominantly localized to mitochondria Secreted by activated lymphocytes"	"overlaps 3"	312	"PM"	0.333333333333333	"C1QBP"	"-"	1	1	1	1	6	20	64	52	48	6	"-"	92	8	"-"	13	16	71	"-"	1	87	12
"GNA13"	"PM"	"Cytoplasm"	NA	"Supportive"	"brush border membrane; cytoplasm; extracellular vesicular exosome; focal adhesion; heterotrimeric G-protein complex; membrane; nucleus; plasma membrane"	" Membrane; Lipid-anchor Melanosome Cytoplasm Nucleus Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV Detected in the cytoplasm of Leydig cells and in the seminiferous epithelium including differentiating cells from the spermatogonia to mature spermatozoa stages In round spermatids also present in the nuclei"	"overlaps 3"	312	"PM"	0.333333333333333	"GNA13"	"-"	1	58	30	26	40	24	10	6	4	1	"-"	90	10	"-"	17	1	82	"-"	1	91	9
"NSF"	""	"Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; lysosomal membrane; plasma membrane"	" Cytoplasm"	"overlaps 3"	312	"PM"	0.333333333333333	"NSF"	"-"	8	24	20	16	30	24	16	30	32	4	"-"	97	3	"-"	20	2	78	"-"	9	84	6
"TMED10"	"ER"	"Golgi apparatus"	NA	"Supportive"	"cis-Golgi network; COPI-coated vesicle; endoplasmic reticulum; endoplasmic reticulum-Golgi intermediate compartment; extracellular vesicular exosome; gamma-secretase complex; Golgi apparatus; Golgi membrane; integral component of membrane; plasma membrane; secretory granule membrane; trans-Golgi network transport vesicle; zymogen granule membrane"	" Golgi apparatus cis-Golgi network membrane; Single-pass type I membrane protein Melanosome Endoplasmic reticulum membrane; Single-pass type I membrane protein Endoplasmic reticulum-Golgi intermediate compartment membrane; Single-pass type I membrane protein Cytoplasmic vesicle secretory vesicle membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250} Cell membrane {ECO:0000250} Golgi apparatus trans-Golgi network membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250} Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV Cycles between compartments of the early secretatory pathway"	"overlaps 3"	312	"PM"	0.333333333333333	"TMED10"	"-"	1	10	20	12	34	44	24	28	26	4	"-"	92	8	"-"	14	14	72	"-"	8	89	4
"ATP2C1"	""	"Cytoplasm"	"Nucleus;Golgi apparatus"	"Uncertain"	"Golgi apparatus; Golgi membrane; integral component of membrane; membrane; trans-Golgi network"	" Golgi apparatus membrane {ECO:0000269|PubMed:12707275}; Multi-pass membrane protein {ECO:0000269|PubMed:12707275}"	"overlaps 3"	410	"ER"	1	"ATP2C1"	"-"	1	12	26	20	50	38	14	20	16	4	"-"	77	23	"-"	1	1	100	"-"	10	83	6
"GALNT2"	"ER"	"Golgi apparatus"	NA	"Supportive"	"extracellular vesicular exosome; Golgi apparatus; Golgi membrane; Golgi stack; integral component of Golgi membrane; membrane; perinuclear region of cytoplasm"	" Golgi apparatus Golgi stack membrane {ECO:0000269|PubMed:9394011}; Single-pass type II membrane protein {ECO:0000269|PubMed:9394011} Secreted {ECO:0000269|PubMed:9394011} Note=Resides preferentially in the trans and medial parts of the Golgi stack A secreted form also exists"	"overlaps 3"	410	"ER"	1	"GALNT2"	"-"	1	10	12	10	32	38	20	38	32	8	"-"	75	25	"-"	1	1	98	"-"	2	94	4
"MLEC"	"ER"	NA	NA	NA	"endoplasmic reticulum; endoplasmic reticulum membrane; integral component of membrane; membrane"	" Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}"	"overlaps 3"	410	"ER"	1	"MLEC"	"-"	1	8	8	8	20	44	34	36	32	8	"-"	76	24	"-"	1	7	93	"-"	8	86	6
"PNPLA6"	"ER"	NA	NA	NA	"endoplasmic reticulum; integral component of membrane; membrane"	" Endoplasmic reticulum membrane {ECO:0000269|PubMed:15044461}; Single-pass type I membrane protein {ECO:0000269|PubMed:15044461}; Cytoplasmic side {ECO:0000269|PubMed:15044461} Note=Anchored to the cytoplasmic face of the endoplasmic reticulum by its amino-terminal transmembrane segment"	"overlaps 3"	410	"ER"	1	"PNPLA6"	"-"	1	8	14	12	50	46	16	30	22	1	"-"	73	27	"-"	1	1	100	"-"	10	88	2
"SPCS1"	"ER"	"Golgi apparatus;Vesicles"	NA	"Uncertain"	"endoplasmic reticulum membrane; integral component of endoplasmic reticulum membrane; signal peptidase complex"	" Microsome membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250} Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}"	"overlaps 3"	410	"ER"	1	"SPCS1"	"-"	1	8	6	6	26	32	20	50	38	12	"-"	76	24	"-"	1	1	100	"-"	7	88	5
"SPCS2"	"ER"	"Nucleus"	NA	"Uncertain"	"endoplasmic reticulum membrane; integral component of membrane; signal peptidase complex"	" Microsome membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250} Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}"	"overlaps 3"	410	"ER"	1	"SPCS2"	"-"	1	6	12	8	28	34	20	46	34	10	"-"	76	24	"-"	1	7	93	"-"	5	88	7
"TM9SF3"	"ER"	"Vesicles"	"Golgi apparatus"	"Uncertain"	"integral component of membrane"	" Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}"	"overlaps 3"	410	"ER"	1	"TM9SF3"	"-"	1	16	14	14	30	34	20	36	28	8	"-"	80	20	"-"	1	1	100	"-"	8	90	3
"TMEM205"	"ER"	"Nuclear membrane;Plasma membrane"	"Nucleus but not nucleoli;Cytoplasm;Cell Junctions"	"Supportive"	"extracellular vesicular exosome; integral component of membrane"	" Membrane {ECO:0000269|PubMed:20589834}; Multi-pass membrane protein {ECO:0000269|PubMed:20589834} Note=Located on cell surface microvilli In cancer cells transition in subcellular location from cell surface to intracellular regions correlates the progression of cisplatin resistance"	"overlaps 3"	410	"ER"	1	"TMEM205"	"-"	1	8	10	8	28	32	18	46	38	10	"-"	79	21	"-"	1	1	100	"-"	5	90	5
"VKORC1"	"ER"	NA	NA	NA	"endoplasmic reticulum membrane; integral component of membrane"	" Endoplasmic reticulum membrane {ECO:0000269|PubMed:14765194 ECO:0000269|PubMed:15716279 ECO:0000269|PubMed:16270630 ECO:0000269|PubMed:20978134 ECO:0000269|PubMed:22923610}; Multi-pass membrane protein {ECO:0000269|PubMed:14765194 ECO:0000269|PubMed:15716279 ECO:0000269|PubMed:16270630 ECO:0000269|PubMed:20978134 ECO:0000269|PubMed:22923610}"	"overlaps 3"	410	"ER"	1	"VKORC1"	"-"	1	12	16	12	26	38	20	38	32	4	"-"	76	24	"-"	1	5	95	"-"	10	84	6
"ACSL3"	"ER"	NA	NA	NA	"endoplasmic reticulum; Golgi apparatus; integral component of membrane; lipid particle; membrane; mitochondrial outer membrane; perinuclear region of cytoplasm; peroxisome"	" Mitochondrion outer membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250} Peroxisome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250} Microsome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250} Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}"	"overlaps 3"	227	"ER"	1	"ACSL3"	"-"	1	12	16	10	26	52	30	30	24	1	"-"	99	1	"-"	1	5	95	"-"	8	87	5
"ALG1"	"ER"	NA	NA	NA	"endoplasmic reticulum; endoplasmic reticulum membrane; integral component of membrane; membrane"	" Endoplasmic reticulum membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}"	"overlaps 3"	227	"ER"	1	"ALG1"	"-"	1	16	18	24	56	32	14	18	20	1	"-"	100	1	"-"	1	1	100	"-"	11	85	4
"HMOX2"	"ER"	"Cytoplasm;Vesicles"	NA	"Uncertain"	"endoplasmic reticulum membrane; membrane; plasma membrane"	" Microsome Endoplasmic reticulum"	"overlaps 3"	227	"ER"	1	"HMOX2"	"-"	1	18	14	12	28	44	24	32	28	1	"-"	99	1	"-"	1	1	100	"-"	13	85	2
"LMAN1"	"ER"	"Cytoplasm"	NA	"Uncertain"	"endoplasmic reticulum-Golgi intermediate compartment; endoplasmic reticulum membrane; ER to Golgi transport vesicle membrane; extracellular vesicular exosome; Golgi membrane; integral component of membrane; membrane; sarcomere"	" Endoplasmic reticulum-Golgi intermediate compartment membrane; Single-pass type I membrane protein Golgi apparatus membrane; Single-pass membrane protein Endoplasmic reticulum membrane; Single-pass type I membrane protein"	"overlaps 3"	227	"ER"	1	"LMAN1"	"-"	1	10	16	12	38	42	20	36	28	1	"-"	99	1	"-"	1	1	100	"-"	11	84	6
"LMAN2"	"ER"	NA	NA	NA	"cell surface; endoplasmic reticulum; endoplasmic reticulum-Golgi intermediate compartment; extracellular space; extracellular vesicular exosome; Golgi apparatus; integral component of plasma membrane"	" Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000269|PubMed:10444376}; Single-pass type I membrane protein {ECO:0000269|PubMed:10444376} Golgi apparatus membrane {ECO:0000269|PubMed:10444376}; Single-pass membrane protein {ECO:0000269|PubMed:10444376} Endoplasmic reticulum membrane {ECO:0000269|PubMed:10444376}; Single-pass type I membrane protein {ECO:0000269|PubMed:10444376}"	"overlaps 3"	227	"ER"	1	"LMAN2"	"-"	1	10	14	12	38	40	18	36	30	1	"-"	98	2	"-"	1	2	97	"-"	10	86	4
"LSS"	"ER"	"Cytoplasm"	NA	"Uncertain"	"endoplasmic reticulum membrane; lipid particle; membrane"	" Endoplasmic reticulum membrane {ECO:0000269|PubMed:14766201 ECO:0000269|PubMed:15525992}; Peripheral membrane protein {ECO:0000269|PubMed:14766201 ECO:0000269|PubMed:15525992}"	"overlaps 3"	227	"ER"	1	"LSS"	"-"	1	12	16	10	40	38	18	32	28	1	"-"	100	1	"-"	1	2	98	"-"	10	84	6
"TMED5"	"ER"	NA	NA	NA	"cis-Golgi network; endoplasmic reticulum exit site; endoplasmic reticulum-Golgi intermediate compartment; Golgi apparatus; integral component of membrane"	" Endoplasmic reticulum membrane {ECO:0000269|PubMed:19948005}; Single-pass type I membrane protein {ECO:0000269|PubMed:19948005} Golgi apparatus cis-Golgi network membrane {ECO:0000269|PubMed:19948005}; Single-pass type I membrane protein {ECO:0000269|PubMed:19948005} Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000269|PubMed:19948005}; Single-pass type I membrane protein {ECO:0000269|PubMed:19948005} Note=Probably cycles between compartments of the early secretatory pathway"	"overlaps 3"	227	"ER"	1	"TMED5"	"-"	1	10	10	10	30	44	24	38	34	1	"-"	100	1	"-"	1	1	100	"-"	9	86	5
